,undp_hdi,ccodealp,ht_region,gle_cgdpc,imf_pop,ffp_hf,wef_qes,wdi_expedu,wdi_ners
9,0.89200002,AUT,5,38868.039,8.543999671936035,1.5,4.492074966430664,5.499549865722656,
117,0.79500002,OMN,3,26158.73,3.717000007629395,1.899999976158142,3.535049200057983,4.960380077362061,94.32984161376952
89,,PRK,6,1727.8199,,4.199999809265137,,,76.20372772216797
106,0.43799999,MLI,4,1063.26,14.85400009155273,8.399999618530273,3.003276109695435,3.739289999008179,34.6161003112793
27,0.79799998,BLR,1,17780.641,9.468000411987305,3.400000095367432,,4.990439891815186,99.46544647216795
146,0.73500001,LCA,10,11095.8,0.1669999957084656,,,4.901659965515137,77.71405792236328
29,0.514,CMR,4,2658.51,,7.5,3.810850858688355,3.029900074005127,43.13555908203125
142,0.79799998,ROU,1,14563.14,19.95299911499023,4.5,3.833498477935791,3.129179954528809,83.92993927001953
151,0.491,SEN,4,1527.99,,7.400000095367432,3.760167360305786,7.396200180053711,
3,0.85699999,AND,5,32367.33,,,,2.997809886932373,
62,0.76800001,GEO,1,7148.5698,3.730000019073486,5.400000095367432,3.20092511177063,1.983309984207153,92.05198669433594
79,0.64899999,IRQ,3,4178.2598,32.57799911499023,8.100000381469727,,,
72,0.49000001,HTI,2,1024.9399,,9.300000190734863,2.325876951217651,,
112,0.73299998,MNG,6,6277.8999,2.881999969482422,3.099999904632568,2.909875631332398,4.599870204925537,
128,0.63700002,FSM,9,2624.05,0.1019999980926514,9.0,,12.46774959564209,
25,0.55199999,MMR,7,5733.3701,51.41899871826172,5.699999809265137,2.659119129180908,,48.25643920898438
145,0.76200002,KNA,10,11237.75,,,,2.784240007400513,82.93193817138672
161,0.50700003,ZWE,4,15997.67,12.45899963378906,8.0,4.20008134841919,8.429329872131348,44.23696899414063
1,0.76200002,ALB,1,8516.7002,,7.099999904632568,4.111338615417481,3.539439916610718,85.27821350097656
105,0.70099998,MDV,8,13349.76,0.335999995470047,5.599999904632568,,4.146959781646729,
162,0.88200003,ESP,5,31086.35,46.45500183105469,2.400000095367432,3.441691160202026,4.27092981338501,96.4586181640625
124,0.64200002,NIC,2,2527.1001,5.946000099182129,8.100000381469727,2.655974626541138,,
51,0.73900002,ECU,2,7259.52,15.77499961853027,6.199999809265137,3.646551609039307,5.246870040893555,83.0124282836914
159,,SOM,4,1436.74,,9.199999809265137,,,
75,0.91900003,ISL,5,31313.609,0.3289999961853027,2.799999952316284,4.882655143737793,7.805850028991699,87.68177032470703
33,0.764,LKA,8,5466.8701,20.54100036621094,7.800000190734863,4.644126892089844,1.925660014152527,85.42613983154297
66,0.58600003,KIR,9,1532.65,0.1070000007748604,,,,
138,0.84100002,PRT,5,23744.631,10.40100002288818,2.200000047683716,4.273322582244873,5.125589847564697,93.03502655029295
107,0.85299999,MLT,5,24094.641,0.425000011920929,4.0,5.026020526885986,7.848999977111816,88.06436157226562
103,0.47299999,MWI,4,938.34998,17.60400009155273,8.100000381469727,3.185531854629517,4.842539787292481,32.94229125976563
155,0.92400002,SGP,7,54268.148,5.46999979019165,3.299999952316284,5.797279357910156,2.91579008102417,
50,0.71799999,DOM,2,10376.63,,7.599999904632568,2.636394500732422,,65.45761108398438
41,0.42500001,COD,4,324.16,,7.099999904632568,2.957446813583374,2.245349884033203,
88,0.55000001,KEN,4,1494.63,40.70000076293945,7.5,4.50993537902832,5.274750232696533,
43,0.82300001,HRV,1,18020.41,4.23799991607666,4.5,3.225566625595093,4.581600189208984,92.67062377929688
78,0.77399999,IRN,3,12889.28,75.1500015258789,6.199999809265137,3.012430906295776,2.954190015792847,80.731201171875
193,0.57599998,ZMB,4,1916.79,,7.800000190734863,4.328835487365723,,
68,0.75099999,GRD,10,8314.5596,,8.399999618530273,,,82.3596420288086
140,0.60299999,TLS,7,1957.8101,1.146000027656555,7.0,2.449350833892822,7.775000095367432,51.84904861450195
20,0.75400001,BRA,2,9815.2402,202.7689971923828,4.099999904632568,2.720419406890869,5.993949890136719,82.8290786743164
37,,TWN,6,33965.871,23.43400001525879,,3.908831357955933,,
49,0.72399998,DMA,10,12613.72,,,,,86.32093048095703
168,0.93800002,CHE,5,50454.41,8.140000343322754,2.099999904632568,5.986858367919922,5.096079826354981,84.2464828491211
